model_name,Accuracy_test_source,Gen_Gap_pipeline_1,Gen_Gap_pipeline_2,Gen_Gap_pipeline_3,Gen_Gap_pipeline_4,Gen_Gap_pipeline_5,Gen_Gap_pipeline_6,Gen_Gap_pipeline_7,Gen_Gap_pipeline_8,Gen_Gap_pipeline_9,Gen_Gap_pipeline_10,Gen_Gap_pipeline_11,Gen_Gap_pipeline_12,Gen_Gap_pipeline_13,Gen_Gap_pipeline_14,Gen_Gap_pipeline_15,Gen_Gap_pipeline_16,Gen_Gap_pipeline_17,Gen_Gap_pipeline_18,Gen_Gap_pipeline_19,Gen_Gap_pipeline_20
model_11,58.92151594161987,0.0282347202301025,1.2704730033874512,-0.6211161613464355,-0.5364179611206055,0.2823293209075928,-0.7622778415679932,-0.2258598804473877,-1.3269305229187012,0.056469440460205,-0.7340431213378906,0.2258658409118652,-1.8915832042694087,-0.9316742420196532,0.2823293209075928,0.6775856018066406,0.2540946006774902,0.4234910011291504,0.3387928009033203,-0.9316742420196532,0.1693964004516601
model_12,86.84359192848206,10.869568586349487,15.10446071624756,15.69734811782837,15.160924196243286,10.191982984542848,15.556186437606812,14.878600835800173,14.737439155578612,10.417842864990234,15.386790037155151,15.556186437606812,13.466966152191162,11.9706392288208,15.047997236251833,14.426881074905396,13.749295473098757,12.14003562927246,13.862228393554688,12.874084711074827,13.21287751197815
model_13,87.210613489151,8.55448842048645,11.490678787231444,12.365895509719849,11.321288347244264,8.21569561958313,10.897797346115112,12.083566188812256,10.982495546340942,7.933366298675537,11.434215307235718,12.478822469711304,12.563520669937134,9.853190183639526,11.88594102859497,12.224727869033812,11.88594102859497,10.53076982498169,11.829471588134766,11.63184642791748,12.309426069259644
model_14,70.18633484840393,1.609259843826294,2.5127053260803223,2.3997724056243896,1.4398634433746338,1.2987017631530762,2.230376005172729,1.7504215240478516,2.9361963272094727,1.5810251235961914,2.258610725402832,3.6420106887817374,2.1456778049468994,2.48447060585022,1.2422382831573486,3.444379568099976,3.133821487426758,2.31507420539856,3.6420106887817374,1.214003562927246,3.3314526081085205
model_15,82.97572135925293,3.105592727661133,6.945228576660156,6.747603416442871,6.295877695083618,2.089214324951172,6.126481294631958,6.267648935317993,6.352347135543823,2.7667999267578125,6.324112415313721,6.6346704959869385,5.138343572616577,3.190290927886963,6.888765096664429,5.957084894180298,5.251270532608032,4.404294490814209,7.876908779144287,5.957084894180298,5.844157934188843
model_16,80.29361963272095,3.839641809463501,6.6346704959869385,4.517221450805664,5.22303581237793,2.56916880607605,5.787688493728638,5.251270532608032,5.110108852386475,1.3833999633789062,5.251270532608032,4.827779531478882,4.940712451934815,1.693958044052124,4.573684930801392,5.759459733963013,5.47713041305542,2.90796160697937,4.4889867305755615,4.940712451934815,5.5900633335113525
model_17,74.95765089988708,1.2422382831573486,3.0773580074310303,3.472614288330078,2.0327508449554443,0.1411616802215576,1.2987017631530762,1.8915891647338867,2.90796160697937,0.0564634799957275,1.9762873649597168,2.3997724056243896,1.6374945640563965,0.7058143615722656,1.129305362701416,1.496326923370361,0.9316742420196532,1.6657233238220217,0.5081892013549805,0.6211161613464355,2.3715436458587646
model_18,85.14963388442993,8.074533939361572,11.744779348373411,12.535291910171509,11.80124282836914,8.865046501159668,12.563526630401611,12.28119730949402,11.71654462814331,9.260308742523192,11.236590147018433,12.027102708816528,11.9706392288208,9.712028503417969,11.914175748825071,11.180126667022703,11.1236572265625,11.9706392288208,11.405986547470093,11.180126667022703,10.728400945663452
model_19,82.35459923744202,2.56916880607605,6.126481294631958,6.408804655075073,5.279499292373657,2.851492166519165,5.081874132156372,5.47713041305542,5.674755573272705,1.806885004043579,5.081874132156372,5.6182920932769775,4.037266969680786,2.851492166519165,4.96894121170044,4.856008291244507,5.364197492599487,4.206657409667969,3.867870569229126,4.997175931930542,4.884243011474609
model_20,81.5076231956482,3.1620562076568604,5.928856134414673,4.940712451934815,5.364203453063965,3.613775968551636,5.110108852386475,5.39243221282959,5.335968732833862,2.2868454456329346,5.1383376121521,4.799550771713257,5.420666933059692,3.3314526081085205,4.376059770584106,6.267642974853516,5.56182861328125,3.783172369003296,4.573684930801392,4.912477731704712,6.182950735092163
model_21,68.54884028434753,2.173912525177002,0.959908962249756,1.044607162475586,0.959908962249756,0.8187413215637207,-0.1129329204559326,1.5810251235961914,0.8752107620239258,0.1976251602172851,-0.1129329204559326,0.7340490818023682,0.2258598804473877,0.592881441116333,0.7058143615722656,0.7622778415679932,-0.1976311206817627,0.6775796413421631,0.7622778415679932,-0.3105640411376953,0.7058143615722656
model_22,75.12704730033875,0.8752107620239258,3.2467544078826904,4.065501689910889,3.049123287200928,1.3551652431488037,2.3715436458587646,2.8514981269836426,3.698474168777466,0.2823293209075928,1.3833999633789062,2.5127053260803223,2.258610725402832,1.3833999633789062,0.8752107620239258,2.3715436458587646,2.004516124725342,2.343308925628662,2.258610725402832,0.5928874015808105,1.3833999633789062
model_23,80.29361963272095,2.65386700630188,4.065501689910889,4.404294490814209,4.4889867305755615,1.6374945640563965,2.7667999267578125,4.121965169906616,4.121965169906616,1.2704670429229736,3.303217887878418,4.234898090362549,3.105592727661133,2.6821017265319824,3.218519687652588,3.783172369003296,3.049123287200928,2.8514981269836426,2.7667999267578125,3.613775968551636,3.896105289459229
model_24,73.96950721740723,2.5409340858459477,5.787688493728638,6.126481294631958,6.6346704959869385,1.637488603591919,4.150193929672241,5.364197492599487,5.1383376121521,0.9316742420196532,3.557312488555908,5.110102891921997,3.726708889007568,2.5127053260803223,3.613775968551636,4.545450210571289,4.037266969680786,2.9926598072052,2.936190366744995,2.5974035263061523,3.218519687652588
model_25,75.77639818191528,2.060985565185547,6.1547160148620605,3.5290777683258057,4.884248971939087,1.8351197242736816,5.166572332382202,5.420666933059692,4.601919651031494,-0.08469820022583,4.827779531478882,3.3314526081085205,3.105592727661133,1.4398634433746338,3.387916088104248,4.234898090362549,3.6420106887817374,0.6211161613464355,3.698474168777466,3.5290777683258057,2.795034646987915
model_26,84.58498120307922,6.352347135543823,10.671937465667725,10.671937465667725,9.514397382736206,5.251270532608032,9.768491983413696,9.542632102966309,9.14737582206726,4.432523250579834,9.23207402229309,9.570866823196411,9.31677222251892,6.1547160148620605,9.260308742523192,9.034442901611328,9.14737582206726,5.47713041305542,9.373235702514648,8.55448842048645,9.937888383865356
model_27,77.78091430664062,2.90796160697937,6.775832176208496,7.87690281867981,6.7193686962127686,2.82326340675354,6.804066896438599,6.832295656204224,6.352341175079346,2.9361963272094727,5.251270532608032,6.804066896438599,4.347825050354004,3.444379568099976,5.39243221282959,5.702990293502808,4.065501689910889,5.279505252838135,5.73122501373291,4.940712451934815,4.347825050354004
model_28,75.66346526145935,1.9762814044952397,6.662899255752564,6.295877695083618,7.227551937103271,1.2704670429229736,4.263126850128174,5.5053651332855225,6.013548374176025,0.959908962249756,3.980797529220581,4.940712451934815,3.500843048095703,1.7504215240478516,3.754937648773194,4.460752010345459,2.65386700630188,2.089214324951172,2.5974035263061523,1.2704670429229736,2.65386700630188
model_29,73.71541261672974,1.214003562927246,4.912477731704712,4.799544811248779,4.743081331253052,2.428007125854492,3.726702928543091,3.952568769454956,5.025404691696167,1.4680922031402588,2.456235885620117,3.585541248321533,3.218519687652588,1.3269305229187012,1.4398634433746338,3.6702394485473633,2.9644250869750977,2.371537685394287,2.428007125854492,2.089214324951172,2.0609796047210693
model_30,76.56691074371338,2.3715436458587646,7.566344738006592,8.413326740264893,7.566344738006592,2.48447060585022,7.538115978240967,6.916993856430054,7.763975858688354,3.1055867671966557,6.324112415313721,6.973463296890259,5.194807052612305,3.444379568099976,5.81592321395874,6.098246574401856,4.517221450805664,4.4889867305755615,4.856014251708984,4.037266969680786,4.940712451934815
model_31,71.51327133178711,1.5527963638305664,3.557312488555908,4.4607579708099365,3.952568769454956,0.564652681350708,1.8915891647338867,2.9361963272094727,4.940712451934815,-0.3387868404388428,2.2868454456329346,3.867870569229126,1.8068909645080569,-0.4234850406646728,1.4680981636047363,2.540940046310425,1.129305362701416,0.8469820022583008,0.9881436824798584,0.4517257213592529,1.665729284286499
model_32,82.69339203834534,4.037266969680786,7.255786657333374,7.114624977111816,6.832295656204224,2.456235885620117,6.239414215087891,7.114624977111816,6.1547160148620605,2.879726886749268,5.194801092147827,6.267642974853516,5.533593893051148,4.206663370132446,5.872386693954468,6.662899255752564,6.239414215087891,4.4889867305755615,5.194801092147827,6.098246574401856,6.606435775756836
